Scenario;Replication;OrderFillRate;AvarageLeadTime;AvarageQInStock;NumberBackOrdered;Costs;OrdersS1;OrdersS2;OrdersS3;FailedRawOrder1;FailedRawOrder2;FailedRawOrder3
Scenario1;1;97,7941176470588;177,697300152742;539,296226464897;1,06243994848753;450000;25;25;0;0;2;0
Scenario1;2;84,8275862068966;210,739654623413;472,226140730965;18,177935163169;486000;27;27;0;1;1;0
Scenario1;3;94,53125;169,113305189755;501,930830371425;1,11649138675632;414000;23;23;0;0;0;0
Scenario1;4;95,8677685950413;173,56937543955;520,838994112795;2,16351446579097;396000;22;22;0;0;1;0
Scenario1;5;92,5373134328358;207,473590346117;479,193045014197;8,27620798924733;440000;25;25;0;0;0;0
Scenario1;6;96,8253968253968;180,223932264036;543,84731056363;1,68302271595664;414000;23;23;0;0;3;0
Scenario1;7;97,1830985915493;164,550965005034;545,382053400801;0,769439827061024;450000;26;26;0;0;0;0
Scenario1;8;88,6524822695035;182,8926191311;503,142640431307;5,27164695004001;468000;26;26;0;0;0;0
Scenario1;9;93,6;198,797952547801;483,967321128965;7,6110004913867;414000;23;23;0;0;3;0
Scenario1;10;97,4842767295598;166,558937604239;520,3106040691;0,688824612458762;530000;30;30;0;4;4;0
Scenario1;11;91,2;191,326653623318;540,431733999536;3,96071229421223;396000;23;23;0;0;4;0
Scenario1;12;93,75;224,532280103113;471,152355874443;4,2417834088157;378000;21;21;0;0;0;0
Scenario1;13;97,1153846153846;171,492142019896;539,028703557616;0,743468726705494;342000;19;19;0;2;2;0
Scenario1;14;90,1639344262295;205,049970985642;494,040274134333;7,59328742564393;396000;22;22;0;0;1;0
Scenario1;15;92,8571428571429;165,797178661427;507,34210608767;3,19447231737217;468000;26;26;0;0;0;0
Scenario1;16;94,6564885496183;177,144408851031;496,640550223145;1,55570950058363;432000;24;24;0;0;1;0
Scenario1;17;94,2446043165468;175,275066437321;524,249332955906;2,98288711160132;468000;26;26;0;3;4;0
Scenario1;18;91,6666666666667;183,023546996668;560,654188225107;3,28860061378518;396000;22;22;0;1;0;0
Scenario1;19;92,156862745098;174,361968387609;503,188518888925;4,15593137695081;504000;28;28;0;2;2;0
Scenario1;20;91,9117647058823;174,714083179848;489,57191361786;4,77701989145254;450000;25;25;0;0;2;0
Scenario1;21;84,9557522123894;191,920773480118;470,268913053578;15,7252511558322;378000;21;21;0;0;1;0
Scenario1;22;96,9230769230769;171,708643381406;578,825323130438;0,990113369073268;432000;24;24;0;1;0;0
Scenario1;23;91,8032786885246;187,084675325645;513,155059130181;4,2444072326705;396000;22;22;0;0;3;0
Scenario1;24;89,622641509434;182,859468800744;540,109566257305;7,52792340676877;360000;20;20;0;2;0;0
Scenario1;25;93,7007874015748;168,204261376704;491,526594779349;2,15685974254093;414000;23;23;0;0;3;0
Scenario1;26;92,1875;167,315184210096;514,627696466876;2,15936589443539;414000;23;23;0;0;3;0
Scenario1;27;94,6969696969697;172,039886837923;532,701419625865;2,5742744479322;432000;24;24;0;0;11;0
Scenario1;28;90,8450704225352;192,267398429749;485,719248342152;7,82565246888301;468000;26;26;0;0;0;0
Scenario1;29;89,2307692307692;193,026284022528;493,650683080631;10,3943273425348;414000;23;23;0;0;1;0
Scenario1;30;91,4529914529915;174,78395858773;489,287252319286;2,51013370294244;386000;22;22;0;0;2;0
Scenario1;31;90,3703703703704;188,276793710771;521,368940905158;6,87360012278726;432000;25;25;0;0;0;0
Scenario1;32;97,0588235294118;170,499776382805;531,909201917072;1,01908580726164;450000;25;25;0;0;1;0
Scenario1;33;92,6470588235294;171,443454945765;519,808138110765;1,80199861778174;440000;25;25;0;0;0;0
Scenario1;34;97,3451327433628;164,178337642627;523,562687418166;0,379173846397055;378000;21;21;0;1;2;0
Scenario1;35;92,5925925925926;205,092483377653;494,879241005111;7,40175236070344;450000;25;25;0;1;4;0
Scenario1;36;94,0677966101695;180,749431781585;518,338955481523;1,95774397972097;378000;21;21;0;0;0;0
Scenario1;37;96,875;173,528452748896;554,965323854229;1,4756990726225;414000;23;23;0;3;0;0
Scenario1;38;91,9354838709677;188,597271331816;514,111043759119;3,63737810127471;414000;23;23;0;2;4;0
Scenario1;39;94,2857142857143;176,009040410889;530,10978560525;2,2807562530615;450000;25;25;0;0;3;0
Scenario1;40;91,0958904109589;187,981604441816;491,585199988748;9,7794072550319;486000;27;27;0;3;2;0
Scenario1;41;91,8518518518518;171,015239026525;549,062720021313;3,28549955382642;450000;25;25;0;0;3;0
Scenario1;42;95,5752212389381;201,653059125128;535,842984897438;1,17415775108401;378000;21;21;0;0;0;0
Scenario1;43;93,4959349593496;179,16626458125;508,862665121575;2,84406876952703;396000;22;22;0;1;5;0
Scenario1;44;96,2121212121212;175,745178619667;533,61775564629;2,58257192316466;432000;24;24;0;0;1;0
Scenario1;45;89,4366197183099;184,028069156566;555,436215375269;9,25200928855034;486000;27;27;0;1;4;0
Scenario1;46;90,0826446280992;202,277715575787;470,307392636581;4,0106260279103;396000;22;22;0;0;1;0
Scenario1;47;91,40625;178,115024751181;517,468668353287;3,13155675001109;414000;23;23;0;1;1;0
Scenario1;48;86,4;212,29601434383;455,438715096348;16,5764822744791;414000;23;23;0;1;3;0
Scenario1;49;94,2446043165468;190,132685079242;459,889695676592;2,15612207005713;450000;25;25;0;0;3;0
Scenario1;50;96,6216216216216;178,758089237353;455,017064010769;1,53450762091756;486000;27;27;0;1;1;0
Scenario1;51;81,3432835820896;194,231119410168;449,95981818215;17,3586220913829;432000;24;24;0;1;4;0
Scenario1;52;96,6942148760331;184,372978328439;540,875033160313;1,46719719550699;396000;22;22;0;0;0;0
Scenario1;53;93,4579439252336;160,485094767609;537,169316863427;2,52742523105053;342000;20;20;0;1;0;0
Scenario1;54;93,75;191,531170264009;476,431912751912;3,27573449435357;414000;23;23;0;0;3;0
Scenario1;55;96,8992248062015;170,528474660017;524,780218966986;1,13337993795539;414000;23;23;0;0;0;0
Scenario1;56;94,3262411347518;164,215733783059;507,837590429508;1,93182308063568;468000;26;26;0;0;5;0
Scenario1;57;95,1388888888889;187,799394431237;496,586178676952;2,83627796987561;486000;27;27;0;0;2;0
Scenario1;58;92,2535211267606;180,934214980722;491,798765562894;4,4603652513799;468000;26;26;0;0;0;0
Scenario1;59;85,6115107913669;188,225991745706;502,727384767279;9,09207924475734;450000;26;26;0;1;2;0
Scenario1;60;92,1428571428571;182,870313675073;526,886882354464;4,72195798398513;432000;25;25;0;0;0;0
Scenario1;61;91,6083916083916;190,524027340313;485,408836979367;5,17093910795859;468000;26;26;0;0;2;0
Scenario1;62;97,8260869565217;177,401406013311;555,162781590774;0,698483873588637;450000;26;26;0;0;2;0
Scenario1;63;94,9152542372881;181,826443002367;548,541222613937;1,99862405636546;396000;22;22;0;0;2;0
Scenario1;64;95,9016393442623;190,021978329436;499,587746423837;5,46624991202684;396000;22;22;0;0;0;0
Scenario1;65;87,0229007633588;182,27597525457;475,199933256687;4,80851340621715;432000;24;24;0;0;1;0
Scenario1;66;89,261744966443;187,079488629077;448,769831512711;8,9874929453735;486000;27;27;0;0;0;0
Scenario1;67;91,7355371900827;168,839743087532;493,775142221361;3,45757319480869;406000;23;23;0;0;4;0
Scenario1;68;91,0714285714286;185,763278628793;571,99505407119;5,8267250512035;378000;21;21;0;1;1;0
Scenario1;69;90,5982905982906;186,875098619867;500,968116079207;9,23104454480965;386000;22;22;0;0;0;0
Scenario1;70;95,3846153846154;172,523532770952;507,390739191331;1,50001732651505;432000;24;24;0;2;5;0
Scenario1;71;93,0555555555556;163,772792179795;522,597193693915;4,02360232395929;476000;27;27;0;1;3;0
Scenario1;72;98,2300884955752;178,75962975238;558,105565809938;0,0441407484439616;378000;21;21;0;1;0;0
Scenario1;73;97,3451327433628;175,748432446339;495,043574415582;0,964591877924091;360000;20;20;0;3;2;0
Scenario1;74;90,9090909090909;182,255610149954;553,46758006739;5,26517728973773;360000;20;20;0;0;0;0
Scenario1;75;97,5;165,540830690897;566,787786293838;0,445510467216827;396000;22;22;0;0;0;0
Scenario1;76;99,1071428571429;168,999998552473;580,779963331232;0,543800442925932;360000;20;20;0;0;1;0
Scenario1;77;93,8356164383562;190,439744342535;475,882099788302;3,27405164202163;468000;26;26;0;2;2;0
Scenario1;78;89,9328859060403;177,710211593545;483,770566423432;8,48883379200878;504000;28;28;0;0;3;0
Scenario1;79;93,75;164,936946203159;530,848230699215;2,03179200423487;414000;23;23;0;0;5;0
Scenario1;80;91,4529914529915;182,522921902705;558,007436729243;2,94225827831473;396000;22;22;0;2;1;0
Scenario1;81;96,551724137931;178,085386424586;526,491378894059;0,973083869760422;468000;26;26;0;1;4;0
Scenario1;82;94,488188976378;180,855469546969;537,882705317494;1,8175269055887;414000;23;23;0;0;3;0
Scenario1;83;86,8055555555556;190,538651683863;476,979338943529;10,9435837369497;468000;26;26;0;0;1;0
Scenario1;84;86,5384615384615;184,413581600573;467,516411172509;15,0789745813428;522000;29;29;0;0;1;0
Scenario1;85;92,7007299270073;183,330417535441;490,084900712794;3,64787195328327;450000;25;25;0;1;2;0
Scenario1;86;96,6666666666667;171,00004775363;551,881539193063;1,21123222729142;396000;22;22;0;1;0;0
Scenario1;87;90,0662251655629;174,226091678711;474,70093063996;3,67805578545064;504000;28;28;0;0;5;0
Scenario1;88;96,7320261437908;177,503071166499;556,166680869452;1,32141875454659;522000;29;29;0;0;3;0
Scenario1;89;90;205,264775439369;515,913323108533;10,8964436012083;360000;20;20;0;0;1;0
Scenario1;90;92,7536231884058;191,260916619141;482,466534803434;2,87498402384737;450000;25;25;0;2;1;0
Scenario1;91;93,5185185185185;170,622844294703;521,06704122833;1,5322624917734;360000;20;20;0;0;2;0
Scenario1;92;89,2307692307692;201,841539842759;495,482621900081;9,88994078348373;432000;24;24;0;1;4;0
Scenario1;93;94,6969696969697;172,208726583804;496,988863008807;1,49631028082397;414000;24;24;0;0;0;0
Scenario1;94;96,8253968253968;182,908531053813;503,655642143148;2,50925813370006;414000;23;23;0;1;2;0
Scenario1;95;94,3661971830986;178,858583804784;515,147176929173;1,64730718122785;468000;26;26;0;0;2;0
Scenario1;96;95;180,17857891825;538,025695374924;4,9150973876088;378000;21;21;0;0;0;0
Scenario1;97;93,7007874015748;164,147133428556;526,782550693942;2,61380397106731;414000;23;23;0;1;2;0
Scenario1;98;88,4615384615385;190,202606164111;474,631541146997;6,74207492814206;432000;24;24;0;0;7;0
Scenario1;99;91,869918699187;170,115996862309;519,800180896677;4,64238331458615;396000;22;22;0;0;1;0
Scenario1;100;94,6153846153846;172,774925246405;527,452487378138;1,28739947275007;432000;24;24;0;1;1;0
Scenario2;1;91,7355371900827;202,020854854555;524,774009567894;6,7382364597313;393750;25;25;0;1;2;0
Scenario2;2;96,5986394557823;172,286520209638;558,176084390787;1,29857672142364;488250;31;31;0;0;0;0
Scenario2;3;95,5223880597015;185,920710887622;579,874741454032;2,75544978889994;441000;28;28;0;0;1;0
Scenario2;4;98,4496124031008;176,52416158156;555,086378082831;0,0909338043940227;425250;27;27;0;1;0;0
Scenario2;5;96,2686567164179;172,849379242299;550,874033488176;0,959984580644282;441000;28;28;0;0;1;0
Scenario2;6;95,8677685950413;192,556760278619;526,18647818075;4,29054532215213;393750;25;25;0;0;2;0
Scenario2;7;97,9591836734694;188,172902700666;602,092879892996;3,61481401142608;488250;31;31;0;0;1;0
Scenario2;8;94,8529411764706;170,708836406823;531,547277692182;1,35899028135716;441000;28;28;0;0;2;0
Scenario2;9;93,8461538461538;189,05544885426;567,5635869225;3,90101991131;425250;27;27;0;0;0;0
Scenario2;10;99,1666666666667;166,609371553493;596,018996273778;0,227774566011174;393750;25;25;0;0;4;0
Scenario2;11;94,1176470588235;179,311942064336;588,244661292456;1,8591714661101;393750;25;25;0;0;1;0
Scenario2;12;98,3333333333333;155,28956160861;594,394426389549;0,403254070160169;393750;25;25;0;0;1;0
Scenario2;13;96,6101694915254;207,235312974546;541,298597598436;1,07855548878107;393750;25;25;0;0;1;0
Scenario2;14;97,3214285714286;188,511676008493;566,445542338056;3,37607708162368;362250;23;23;0;1;2;0
Scenario2;15;97,6;189,138209909147;561,935772798843;0,279545810775137;409500;26;26;0;2;0;0
Scenario2;16;99,2424242424242;163,487571962928;572,043715346504;0,0531657888512365;441000;28;28;0;0;0;0
Scenario2;17;97,4789915966387;192,732658019275;558,909807968843;4,3833060416267;385000;25;25;0;0;0;0
Scenario2;18;98,3193277310924;172,028166150885;543,451995045978;0,424368098860531;393750;25;25;0;0;0;0
Scenario2;19;96,8;180,448598007604;568,860190191353;1,35760508973054;409500;26;26;0;0;2;0
Scenario2;20;92,5925925925926;203,581120395658;507,278008096301;10,2060917385309;441000;28;28;0;0;2;0
Scenario2;21;95,6834532374101;187,313040692688;587,655673960315;3,2678027436937;456750;29;29;0;0;4;0
Scenario2;22;96,2406015037594;187,535535856157;541,359077217702;2,70911561619969;441000;28;28;0;0;0;0
Scenario2;23;97,8102189781022;164,912453390738;547,886279579958;0,277361384305439;448000;29;29;0;2;3;0
Scenario2;24;93,0769230769231;194,702687037639;505,551122396099;4,02493088111268;424375;26;27;0;0;0;0
