Scenario;Response;Mean;Median;Minimum;Maximum;HalfWidth;Mean Confidence Interval Start;Mean Confidence Interval End;Upper Percentile;Upper Percentile Confidence Interval Start;Upper Percentile Confidence Interval End;Lower Percentile;Lower Percentile Confidence Interval Start;Lower Percentile Confidence Interval End
Scenario1;FailedRawOrder3;0;0;0;0;0;0;0;0;0;0;0;0;0
Scenario1;FailedRawOrder2;1,84;2;0;11;0,372185945707006;1,46781405429299;2,21218594570701;3;2;4;0;0;1
Scenario1;FailedRawOrder1;0,55;0;0;4;0,176977335477533;0,373022664522467;0,726977335477533;1;1;1;0;0;0
Scenario1;OrdersS3;0;0;0;0;0;0;0;0;0;0;0;0;0
Scenario1;OrdersS2;23,85;24;19;30;0,474084452583944;23,3759155474161;24,3240844525839;26;25;26;22;22;23
Scenario1;OrdersS1;23,85;24;19;30;0,474084452583944;23,3759155474161;24,3240844525839;26;25;26;22;22;23
Scenario1;Costs;427180;432000;342000;530000;8473,18875062018;418706,81124938;435653,18875062;450000;450000;468000;396000;386000;414000
Scenario1;NumberBackOrdered;4,36270200578232;3,13155675001109;0,0441407484439616;18,177935163169;0,791494212491244;3,57120779329107;5,15419621827356;5,46624991202684;4,4603652513799;7,82565246888301;1,55570950058363;1,21123222729142;2,03179200423487
Scenario1;AvarageQInStock;512,541490421823;514,627696466876;448,769831512711;580,779963331232;6,16486927508849;506,376621146735;518,706359696912;537,169316863427;526,782550693942;543,84731056363;491,526594779349;479,193045014197;495,482621900081
Scenario1;AvarageLeadTime;181,544399034578;180,223932264036;160,485094767609;224,532280103113;2,46811224194254;179,076286792635;184,01251127652;188,597271331816;184,413581600573;191,326653623318;172,208726583804;170,499776382805;174,78395858773
Scenario1;OrderFillRate;92,9569647168777;93,4959349593496;81,3432835820896;99,1071428571429;0,68449356866818;92,2724711482095;93,6414582855459;95,5752212389381;94,53125;96,7320261437908;91,0958904109589;90;91,8032786885246
Scenario2;FailedRawOrder3;0;0;0;0;0;0;0;0;0;0;0;0;0
Scenario2;FailedRawOrder2;1,44;1;0;7;0,315967340084383;1,12403265991562;1,75596734008438;2;2;3;0;0;0
Scenario2;FailedRawOrder1;0,45;0;0;5;0,169918897766499;0,280081102233501;0,619918897766499;1;0;1;0;0;0
Scenario2;OrdersS3;0;0;0;0;0;0;0;0;0;0;0;0;0
Scenario2;OrdersS2;27,54;28;21;34;0,492695439763386;27,0473045602366;28,0326954397634;29;28;30;26;25;26
Scenario2;OrdersS1;27,52;28;21;34;0,491085943228233;27,0289140567718;28,0110859432282;29;28;30;26;25;26
Scenario2;Costs;431742,5;441000;322000;535500;7714,56805796448;424027,931942036;439457,068057964;456750;441000;472500;409500;393750;409500
Scenario2;NumberBackOrdered;2,48380267903948;1,29857672142364;0;18,3613117591344;0,628277128716127;1,85552555032336;3,11207980775561;3,37607708162368;2,64105691811341;4,5145891385084;0,569311772738898;0,385864058469758;0,680574383650606
Scenario2;AvarageQInStock;555,462545612647;556,27179363889;498,508707235762;618,977000132511;5,2131942217415;550,249351390906;560,675739834388;572,815820764778;567,5635869225;583,024308976997;538,376180897983;527,381065783001;544,791096172286
Scenario2;AvarageLeadTime;181,643319456635;182,10972719812;155,28956160861;217,5600275516;2,55247194704082;179,090847509594;184,195791403676;189,422248593062;187,835204280933;192,732658019275;171,466233131732;167,816274543475;174,755310705828
Scenario2;OrderFillRate;96,5360529956112;97,1014492753623;90,625;100;0,438359239739693;96,0976937558715;96,9744122353509;98,2758620689655;97,8260869565217;98,5074626865672;94,9275362318841;94,2857142857143;95,8677685950413
Scenario3;FailedRawOrder3;0;0;0;0;0;0;0;0;0;0;0;0;0
Scenario3;FailedRawOrder2;1,6;1;0;11;0,395862234989534;1,20413776501047;1,99586223498953;2;2;4;0;0;0
Scenario3;FailedRawOrder1;0,36;0;0;8;0,203060349291893;0,156939650708107;0,563060349291893;0;0;1;0;0;0
Scenario3;OrdersS3;0;0;0;0;0;0;0;0;0;0;0;0;0
