Scenario;Response;Mean;Median;Minimum;Maximum;HalfWidth;Mean Confidence Interval Start;Mean Confidence Interval End;Upper Percentile;Upper Percentile Confidence Interval Start;Upper Percentile Confidence Interval End;Lower Percentile;Lower Percentile Confidence Interval Start;Lower Percentile Confidence Interval End
Scenario1;OrdersS3;0;0;0;0;0;0;0;0;0;0;0;0;0
Scenario1;OrdersS2;23,85;24;19;30;0,474084453;23,37591555;24,32408445;26;25;26;22;22;23
Scenario1;OrdersS1;23,85;24;19;30;0,474084453;23,37591555;24,32408445;26;25;26;22;22;23
Scenario1;Costs;617060;624000;494000;766000;12241,55758;604818,4424;629301,5576;650000;650000;676000;572000;558000;598000
Scenario1;NumberBackOrdered;4,362702006;3,13155675;0,044140748;18,17793516;0,791494212;3,571207793;5,154196218;5,466249912;4,460365251;7,825652469;1,555709501;1,211232227;2,031792004
Scenario1;AvarageQInStock;512,5414904;514,6276965;448,7698315;580,7799633;6,164869275;506,3766211;518,7063597;537,1693169;526,7825507;543,8473106;491,5265948;479,193045;495,4826219
Scenario1;AvarageLeadTime;181,544399;180,2239323;160,4850948;224,5322801;2,468112242;179,0762868;184,0125113;188,5972713;184,4135816;191,3266536;172,2087266;170,4997764;174,7839586
Scenario1;OrderFillRate;92,95696472;93,49593496;81,34328358;99,10714286;0,684493569;92,27247115;93,64145829;95,57522124;94,53125;96,73202614;91,09589041;90;91,80327869
Scenario2;OrdersS3;0;0;0;0;0;0;0;0;0;0;0;0;0
Scenario2;OrdersS2;27,52;28;21;34;0,488586592;27,03141341;28,00858659;29;28;30;26;25;26
Scenario2;OrdersS1;27,5;28;21;34;0,488603297;27,0113967;27,9886033;29;28;30;26;25;26
Scenario2;Costs;623175;637000;465500;773500;11042,40148;612132,5985;634217,4015;659750;637000;682500;591500;568750;591500
Scenario2;NumberBackOrdered;2,462752608;1,249415494;0;18,36131176;0,629411788;1,83334082;3,092164396;3,376077082;2,596553743;4,514589139;0,569311773;0,385864058;0,675600121
Scenario2;AvarageQInStock;556,0927325;556,2717936;498,5087072;618,9770001;5,029911468;551,062821;561,122644;572,8158208;567,5635869;583,024309;538,3761809;528,7960608;544,7910962
Scenario2;AvarageLeadTime;181,6855632;182,1097272;155,2895616;217,5600276;2,538437004;179,1471262;184,2240002;189,4222486;187,8352043;192,732658;172,0281662;168,324959;174,7553107
Scenario2;OrderFillRate;96,54801378;97,10144928;90,625;100;0,439903535;96,10811024;96,98791732;98,31932773;97,88732394;98,51851852;94,92753623;94,28571429;95,8677686
Scenario3;OrdersS3;0;0;0;0;0;0;0;0;0;0;0;0;0
Scenario3;OrdersS2;32,39;32;25;39;0,593721186;31,79627881;32,98372119;34;33;35;31;30;31
Scenario3;OrdersS1;32,39;32;25;39;0,593721186;31,79627881;32,98372119;34;33;35;31;30;31
Scenario3;Costs;629355;624000;477000;760500;11791,38825;617563,6117;641146,3883;663000;643500;682500;585000;585000;604500
Scenario3;NumberBackOrdered;1,809479825;0,711898917;0;24,57337953;0,642175237;1,167304588;2,451655062;2,377064142;1,351999463;3,494859499;0,177940807;0;0,317112573
Scenario3;AvarageQInStock;605,4000738;608,2270903;548,4613593;656,7807467;4,697731807;600,702342;610,0978056;619,7581393;616,0249482;629,6408782;584,2517964;580,9178894;594,1321031
Scenario3;AvarageLeadTime;184,6738969;184,6812584;160,0673339;222,0051734;2,543906348;182,1299906;187,2178033;192,4639241;187,7454416;196,8705991;176,4101632;173,3650887;177,6445778
Scenario3;OrderFillRate;97,94431187;98,36065574;91,21621622;100;0,368882329;97,57542954;98,3131942;99,23664122;99,17355372;100;97,14285714;95,97315436;97,70992366
Scenario4;OrdersS3;24,23;24;20;30;0,45875545;23,77124455;24,68875545;26;25;26;23;22;23
Scenario4;OrdersS2;0;0;0;0;0;0;0;0;0;0;0;0;0
Scenario4;OrdersS1;24,23;24;20;30;0,45875545;23,77124455;24,68875545;26;25;26;23;22;23
Scenario4;Costs;576840;576000;480000;720000;10566,1945;566273,8055;587406,1945;614000;600000;624000;542000;528000;552000
Scenario4;NumberBackOrdered;12,02973677;10,97889906;0,95985303;25,00181825;1,274609799;10,75512697;13,30434657;17,50762508;13,89455166;20,37626981;7,237619793;5,571300392;8,247441121
Scenario4;AvarageQInStock;398,44676;398,6094559;336,3593541;459,5262113;5,49375687;392,9530032;403,9405169;418,5867302;411,13399;425,1530229;380,7500229;369,1302775;387,4182234
Scenario4;AvarageLeadTime;277,5201994;276,7038171;258,860638;321,4310115;2,445790428;275,0744089;279,9659898;284,6332539;281,5378859;288,3757774;268,0862314;265,8018647;270,207268
Scenario4;OrderFillRate;85,45640594;85,40145985;73,41772152;96,69421488;0,974821935;84,481584;86,43122787;89,14728682;87,21804511;89,65517241;82,17054264;80,82191781;82,94573643
Scenario5;OrdersS3;27,59;27;23;36;0,474703822;27,11529618;28,06470382;29;28;29;26;25;27
Scenario5;OrdersS2;0;0;0;0;0;0;0;0;0;0;0;0;0
Scenario5;OrdersS1;27,59;27;23;36;0,474703822;27,11529618;28,06470382;29;28;29;26;25;27
Scenario5;Costs;574472,5;567000;483000;756000;9855,958309;564616,5417;584328,4583;609000;588000;609000;546000;525000;558250
Scenario5;NumberBackOrdered;7,326098177;6,560190789;0,833310941;22,37176088;0,930838652;6,395259525;8,256936828;9,870454957;8,734898446;11,28148914;3,318254617;2,582838452;4,867847248
Scenario5;AvarageQInStock;444,165541;445,0103093;386,3458353;539,389731;5,932666235;438,2328748;450,0982073;461,3608967;454,5545492;471,5380236;422,5487536;413,4718272;431,5805733
Scenario5;AvarageLeadTime;289,5695678;289,5754719;264,356734;320,8893123;2,485051162;287,0845167;292,054619;297,0171667;293,3888928;301,6464299;282,5390301;276,1348495;284,753201
Scenario5;OrderFillRate;90,32201686;90,51724138;80;98,2300885;0,868696552;89,45332031;91,19071341;93,7007874;93,02325581;94,91525424;87,5;86,61971831;88,42975207
Scenario6;OrdersS3;32,11;32;25;41;0,668106096;31,4418939;32,7781061;35;33;35;30;28;31
Scenario6;OrdersS2;0;0;0;0;0;0;0;0;0;0;0;0;0
Scenario6;OrdersS1;32,11;32;25;41;0,668106096;31,4418939;32,7781061;35;33;35;30;28;31
Scenario6;Costs;571710;576000;442500;738000;12079,32468;559630,6753;583789,3247;612000;594000;622500;522000;504000;540000
Scenario6;NumberBackOrdered;3,295395927;2,575214555;0;17,62454225;0,589223269;2,706172659;3,884619196;4,519584296;3,606504185;5,655697086;1,319704584;0,939752098;1,704080819
