Scenario;Response;Mean;Median;Minimum;Maximum;HalfWidth;Mean Confidence Interval Start;Mean Confidence Interval End;Upper Percentile;Upper Percentile Confidence Interval Start;Upper Percentile Confidence Interval End;Lower Percentile;Lower Percentile Confidence Interval Start;Lower Percentile Confidence Interval End
S1 Low;AveregeQuantityInStock;202,261876041524;164,097596014754;65,3632890228165;541,548371704079;24,1841426892389;178,077733352285;226,446018730763;278,301279003506;231,734583424173;331,959068834402;102,936733862865;92,8738402692594;114,949615525623
S1 Low;AverageLeadTime;172,028171820418;171,577996052714;157,255862798527;193,002622340323;1,52718871459311;170,500983105825;173,555360535011;176,298314431446;174,037759763517;179,123331561135;166,004390036985;164,835738182623;167,759726678421
S1 Low;Response2;421400;420000;320000;500000;7345,15149914925;414054,848500851;428745,151499149;440000;440000;460000;400000;380000;400000
S1 Low;OrderFillRate;32,8632923709322;23,75;6,75675675675676;94,5454545454545;4,57060975301361;28,2926826179186;37,4339021239459;44,3548387096774;36,6666666666667;55,6451612903226;16,1764705882353;12,8;17,9856115107914
S1;AveregeQuantityInStock;227,29520800082;182,516170001981;63,7666757788038;613,692074359529;27,9413564659636;199,353851534857;255,236564466784;303,999449832328;254,311732352291;355,170418167178;116,488719221655;100,191420653135;135,259688588693
S1;AverageLeadTime;174,549222876698;173,199036116976;160,122976337253;198,393819875371;1,74134779553051;172,807875081167;176,290570672228;180,162188748175;177,617685411438;182,173878583964;168,418251749677;166,846644415063;169,705241189509
S1;Response2;437675;437500;332500;560000;7339,22336854582;430335,776631454;445014,223368546;455000;437500;472500;420000;402500;420000
S1;OrderFillRate;37,5195268272935;30,2158273381295;8,38709677419355;99,1666666666667;4,99005285224682;32,5294739750466;42,5095796795403;49,6350364963504;41,1764705882353;63,1578947368421;18,2481751824818;15,5405405405405;20,4379562043796
S1 High;AveregeQuantityInStock;308,669507957468;282,349544876148;84,1424106090434;640,347892672225;34,1877905473846;274,481717410083;342,857298504852;446,731178869957;370,580027768565;519,413270692519;157,943532932151;134,026660443527;193,967175907943
S1 High;AverageLeadTime;174,427318665746;174,564617354796;160,817364777352;196,09625631528;1,57810053536338;172,849218130383;176,00541920111;178,608920344629;177,298796672144;182,682665634448;168,708691555563;165,999537991252;170,847396122504
S1 High;Response2;445050;450000;360000;540000;7690,41435666978;437359,58564333;452740,41435667;480000;450000;480000;420000;405000;420000
S1 High;OrderFillRate;51,8864824381892;46,0869565217391;7,93650793650794;100;5,50156317753898;46,3849192606502;57,3880456157282;77,6978417266187;60,7692307692308;86,1111111111111;31,2;21,7687074829932;36,0902255639098
S2 Low;AveregeQuantityInStock;224,239800462234;198,839152817938;55,9124389609681;571,598898189206;23,8688527777798;200,370947684454;248,108653240013;310,375022113032;266,542605137314;345,619697915808;127,747190686582;114,460396049891;138,284011393519
S2 Low;AverageLeadTime;173,706452414128;172,89483501988;155,657605746368;200,804081589804;1,92869704049033;171,777755373638;175,635149454618;180,31089345613;176,991914452526;183,500065794984;166,906289236689;164,144102091945;169,066498118419
S2 Low;Response2;338880;336000;288000;400000;5015,22717549446;333864,772824506;343895,227175494;352000;352000;368000;320000;320000;320000
S2 Low;OrderFillRate;37,2987313596411;34,1935483870968;7,63358778625954;95,7983193277311;4,42319004067758;32,8755413189635;41,7219214003187;52,2522522522522;42,3357664233577;58,8709677419355;18,75;16,1290322580645;22,6277372262774
S2;AveregeQuantityInStock;286,387541861928;245,583284422818;74,2392581030571;597,510424648787;28,3269898682334;258,060551993694;314,714531730161;402,335150851121;365,675330626262;452,811638767884;174,252436256298;128,049236581323;199,551564563506
S2;AverageLeadTime;174,330121832652;173,244132838308;153,8788895051;207,383816481658;1,83026233393739;172,499859498714;176,160384166589;180,741501490913;178,283409564378;183,256227464939;168,626897030754;165,793809842756;169,377779035487
S2;Response2;347340;350000;280000;392000;4777,77695700721;342562,223042993;352117,776957007;364000;364000;364000;336000;322000;336000
S2;OrderFillRate;47,7960619792558;45,578231292517;12,781954887218;99,2125984251969;4,78548292177895;43,0105790574768;52,5815449010347;66,6666666666667;59,6899224806201;73,8805970149254;29,1666666666667;21,9858156028369;33,0769230769231
S2 High;AveregeQuantityInStock;297,877410277671;259,156689332503;73,2159997640598;646,047069203554;32,6368250162885;265,240585261382;330,514235293959;387,640831151161;351,177977070125;498,084026827333;170,188301030225;143,401041136623;180,403903825177
S2 High;AverageLeadTime;175,446665330459;174,878528294381;159,005867258262;203,031677994717;1,77837022738947;173,66829510307;177,225035557849;180,468394176585;179,02149549688;183,382855111664;168,904474388396;166,732052079243;171,075545259784
S2 High;Response2;354000;360000;276000;396000;4370,20074429706;349629,799255703;358370,200744297;372000;360000;372000;336000;336000;348000
S2 High;OrderFillRate;49,5178785268147;46,7741935483871;9,79020979020979;100;5,08111562318534;44,4367629036294;54,5989941500001;64,4628099173554;55,6390977443609;74,6031746031746;29,0322580645161;25,3623188405797;33,7931034482759
S3 Low;AveregeQuantityInStock;166,741792445755;149,008990846833;41,0178979929979;398,205762352586;15,590782746905;151,15100969885;182,33257519266;221,857040907134;182,081528861687;236,981820484801;108,848571460296;92,1364496312171;122,929985481317
S3 Low;AverageLeadTime;301,9894825746;301,503871159546;271,706944480093;356,019658227963;2,9169989476968;299,072483626903;304,906481522297;309,45653763246;308,159109467657;313,49047368671;292,915180262438;288,652743816391;294,853006429444
S3 Low;Response2;240600;240000;216000;264000;2384,43338037668;238215,566619623;242984,433380377;252000;252000;252000;228000;228000;240000
S3 Low;OrderFillRate;29,3558300606515;24,2647058823529;6,01503759398496;75,7281553398058;3,43168016764874;25,9241498930028;32,7875102283003;37,6;32,8;44,0366972477064;17,6;15,6716417910448;19,2
S3 ;AveregeQuantityInStock;182,013806208449;155,016293076156;63,3380031521091;410,139864171139;17,7243895258164;164,289416682632;199,738195734265;217,80904176382;189,644886739867;264,856016455552;122,539796722794;110,590093883071;133,031699964828
S3 ;AverageLeadTime;318,22807181878;315,554829689206;283,521417346267;370,016022661461;3,1267058656537;315,101365953126;321,354777684433;328,861853174914;324,443851677247;331,398363880758;306,993313835871;301,935656249714;309,20670452823
S3 ;Response2;244440;241500;220500;262500;2325,13256630866;242114,867433691;246765,132566309;252000;252000;252000;241500;231000;241500
S3 ;OrderFillRate;32,5175036402851;27,7777777777778;7,33333333333333;85,4368932038835;3,67911108301397;28,8383925572711;36,1966147232991;41,3793103448276;30,9859154929577;50,3875968992248;20,5128205128205;16,7832167832168;22,2222222222222
S3 High;AveregeQuantityInStock;211,973207689157;193,974650249604;54,77091845393;469,306411521532;20,816471651586;191,156736037571;232,789679340743;279,785333532996;234,83029110918;318,512292989353;131,369169405734;112,692551150386;150,597232698426
S3 High;AverageLeadTime;334,780542304204;334,682234001925;299,017771188887;367,819660180324;2,96532525323288;331,815217050971;337,745867557437;344,618967670874;339,802785625662;351,124305918202;325,012258465488;321,207498574984;328,668675713426
S3 High;Response2;247950;252000;216000;270000;2276,27508223413;245673,724917766;250226,275082234;252000;252000;261000;243000;234000;243000
S3 High;OrderFillRate;38,7473948773328;34,8484848484849;9,6551724137931;93,3333333333333;4,16537933102042;34,5820155463124;42,9127742083532;51,3513513513513;40,9090909090909;59,8425196850394;25,1908396946565;19,4915254237288;26,7605633802817
