Replication;scarcity3;scarcity2;scarcity1;EnvironmentalDisasterChanceB;EnvironmentalDisasterChanceA;TimeToRepair2;TimeToRepair3;TimeToRepair1;CountBetweenFaillures3;CountBetweenFaillures2;CountBetweenFaillures1;DelayTimeB;TravelTime3;TravelTime2;DelayTimeA;TravelTime1;Costs;OrdersS3;OrdersS2;OrdersS1;AvarageQInStock;NumberBackordered;AvarageLeadTime;OrderFillRate
1;15,9218968871627;17,0221336645606;NaN;5,74126239327921;3,03464725087397;662,138779289229;615,940739197343;708,470863651702;37,9203096454342;45,2241666790528;76,3635103245421;631,523113874884;746,781243641756;164,429055959767;NaN;NaN;333000;27;5;0;383,291483147548;22,9965064486792;316,618353471471;83,0769230769231
2;15,9351428253765;16,9297906403663;NaN;6,11504780680969;2,90598937147297;637,375533732945;623,656325555315;616,455482973457;40,5891261100104;45,4380180217469;77,4381833841714;707,434602249317;692,186436703882;117,433224833295;NaN;NaN;315000;29;3;0;396,880240859677;26,75453172115;323,146947432835;76,6917293233083
3;16,0166120610599;16,9794313119581;NaN;5,74788587766566;3,36650052589054;684,282835036004;620,165734666279;622,866930169016;37,3663646883021;44,694369397162;72,6561803621926;760,504640101742;696,015907719582;166,164099182399;774,044920100487;NaN;405000;28;9;0;403,350985088088;22,109646103857;301,660133769505;83,3333333333333
4;15,9273801392752;17,0039126199138;NaN;5,51977864687365;3,02004343539011;588,989790901715;669,665825146676;624,903746219479;34,781767734016;42,1079368703899;74,273975242395;657,863083395234;657,6997900382;165,954402677039;NaN;NaN;324000;27;6;0;461,145425276019;12,5555824351545;287,656343249306;87,4074074074074
5;15,9855956893083;NaN;NaN;6,48592530164335;NaN;702,304122387753;597,376652362616;643,728378500162;42,1880638443067;45,1240833884535;73,8521828748727;926,850371289268;715,847863960512;NaN;NaN;NaN;252000;28;0;0;450,276654879287;17,8417813696476;317,205032282874;88,7931034482759
6;15,8985619917835;16,9933834350335;NaN;5,27938457664901;4,07537929015234;679,865462764093;634,636326676988;616,616361154183;39,9225715515686;44,383217159193;74,306486159269;508,529827419086;753,484931121391;155,572166471444;NaN;NaN;342000;28;5;0;426,401342898197;38,9577361736161;322,674284485365;74,4360902255639
7;16,0454183497652;16,5816231489182;NaN;6,27527099694791;2,88191738235764;625,288460841781;633,356878771235;614,459106353489;40,9572878662896;46,1283370471882;76,3661564764028;516,774600336539;721,671864609032;170,172230468028;NaN;NaN;288000;28;2;0;463,711466951052;14,8899728235953;312,102691138088;89,4308943089431
8;15,9088642243731;17,2239247897894;NaN;6,66085492894053;2,91240240819752;625,886557935812;577,899080630599;568,987536648855;42,725810845316;44,5021210248686;75,2230875450186;838,737056423265;690,883365280401;103,450052808838;NaN;NaN;333000;30;5;0;416,352249607438;22,5020034132187;303,98185261265;81,6901408450704
9;16,0302084161329;17,2088850439143;NaN;6,56559398703277;3,17967839329503;631,588863378053;666,077136136025;616,783473067144;38,0627039293277;45,932108912205;71,7380310359754;NaN;673,329727444699;149,19893485582;924,502307371629;NaN;333000;25;6;0;447,273184230968;17,5173368550459;289,364148767753;84,1269841269841
10;15,968834974058;16,9929014234804;NaN;5,88062794082637;3,6617169873789;626,388152878981;582,001205469058;600,246185319863;41,4695393695528;45,9907058486715;73,6860153461365;743,416734618143;779,010202341718;115,637522786344;NaN;NaN;306000;29;3;0;378,410524303813;33,9195877541277;327,667237093326;72,7272727272727
11;15,9482103013225;17,0367528383088;NaN;7,01905281020811;3,53378724632785;599,78942882524;719,358828249364;633,08907574789;38,9710379378111;44,9821867729123;73,5688970563933;697,634061144653;718,36078618467;183,070885664309;NaN;NaN;333000;27;5;0;429,772029841661;20,722712367705;315,475459342171;85,2713178294574
12;16,0082321125152;17,0717258647783;NaN;6,30140244553762;3,27563773365026;600,469027109585;677,974440250095;535,923009741304;38,1165801524185;44,4093958917074;74,9016970090911;1070,00641605278;762,591452723299;152,58587879877;NaN;NaN;360000;27;7;0;438,24283389796;24,8903403735213;298,737780102623;78,6764705882353
13;15,9488845808746;16,0509582904633;NaN;6,20842513556664;2,73781657824293;626,710933662465;622,997470402859;632,497212592221;38,1706115150632;45,5935011938628;74,9811708452915;804,789109428755;688,874817316118;163,49433305339;NaN;NaN;252000;26;1;0;453,202487993337;7,39857791705443;331,450333345148;91,9642857142857
14;16,0107229765614;17,0690105501795;NaN;5,95083461667377;3,56456664909742;633,377659972961;678,488385460576;646,441165024414;39,3467498504158;42,6687764156506;74,1961271057249;NaN;729,817494324434;196,030100603634;NaN;NaN;369000;27;7;0;431,912143362355;18,9912469698063;298,389349505721;81,4814814814815
15;16,0751675867145;17,0359481840394;NaN;5,36846964024007;3,80114278945673;638,445225731916;640,31349278335;565,132176889644;43,2810939400008;43,607251024805;75,1703331434462;NaN;711,744083056879;124,406193641242;NaN;NaN;396000;30;7;0;386,496376534545;21,6595110197898;294,320618954821;79,7297297297297
16;15,811173716749;17,09374384449;NaN;5,89586341008544;3,44158257939853;637,910786974064;739,352273448148;688,71593169972;42,4860345862376;45,8988137146494;76,2244004115928;943,189207405527;684,095723781306;190,251747655271;NaN;NaN;324000;26;5;0;437,498573273893;35,5616524047731;306,495679911965;79,2
17;16,0019483373071;17,2680067915469;NaN;5,055613464246;2,41855768300593;554,125027869398;642,386055813384;660,970908965701;39,4079769222901;45,9623186546378;75,1321380713489;NaN;712,781677788378;90,0352024110444;NaN;NaN;261000;26;2;0;477,958657329512;18,7940997144765;314,956397355122;83,0357142857143
18;15,9684689722316;17,0615237556737;NaN;5,10347013490704;3,1470523038879;610,129945957498;656,040808114819;644,151974301315;36,9623714431735;47,3902104825426;74,0291403025683;815,311511926793;707,435228843306;272,340528366352;NaN;NaN;306000;26;4;0;451,819331138705;18,4555427257749;317,522654657875;83,2
19;15,9469939089318;16,9555532830501;NaN;5,66371782079082;3,85978510272689;670,773502384706;665,665654148068;635,957899802327;41,7649012259035;42,5225682018532;75,097787922959;249,795495134627;739,380883453243;152,298149599598;NaN;NaN;351000;29;5;0;410,643865357576;22,5450449527681;301,678881534825;79,7101449275362
20;16,0523865054218;17,1329736470777;NaN;6,65029808079764;3,23958983714692;589,442545944517;601,65641621101;627,668304068236;43,810438575844;44,9398469257479;74,7029177692572;1117,12775324708;731,197459437812;140,89898087754;NaN;NaN;369000;31;5;0;383,588958400612;37,8328599084685;322,587989815941;75
