Replication;scarcity3;scarcity2;scarcity1;EnvironmentalDisasterChanceB;EnvironmentalDisasterChanceA;TimeToRepair2;TimeToRepair3;TimeToRepair1;CountBetweenFaillures3;CountBetweenFaillures2;CountBetweenFaillures1;DelayTimeB;TravelTime3;TravelTime2;DelayTimeA;TravelTime1;FailedRawOrder3;FailedRawOrder2;FailedRawOrder1;OrdersS3;OrdersS2;OrdersS1;Costs;NumberBackOrdered;AvarageQInStock;AvarageLeadTime;OrderFillRate
1;NaN;17,0479454028065;18,0275310596065;NaN;3,4373708913615;622,497713188478;643,901884734781;740,689226761581;40,3747047829841;44,1151367575448;73,9732319578373;NaN;NaN;143,283626587055;880,4399036279;185,604354380101;0;2;1;0;25;25;393750;6,7382364597313;524,774009567894;202,020854854555;91,7355371900827
2;NaN;16,9273124572176;18,0943936801422;NaN;3,58078494901964;686,054645194896;618,431726698658;622,380112382399;43,5671504635226;44,6688441051027;78,4601413082176;NaN;NaN;187,176216607788;NaN;185,873315309543;0;0;0;0;31;31;488250;1,29857672142364;558,176084390787;172,286520209638;96,5986394557823
3;NaN;16,9650724435106;17,7833969227403;NaN;3,45892677439926;588,390036208988;669,214541335629;634,655838131698;40,5004029265339;44,6006537549612;75,089572099111;NaN;NaN;165,086093452132;581,460625020352;168,965398366659;0;1;0;0;28;28;441000;2,75544978889994;579,874741454032;185,920710887622;95,5223880597015
4;NaN;17,0135259062306;17,8218004392416;NaN;3,42520253167539;589,335451772195;638,996475962142;648,724196498546;38,6811722988455;45,4011934669688;76,4083097005884;NaN;NaN;167,056073595336;NaN;170,066363888506;0;0;1;0;27;27;425250;0,0909338043940227;555,086378082831;176,52416158156;98,4496124031008
5;NaN;16,9918395850431;17,9821653895728;NaN;3,291087679777;723,095256320497;646,212272497142;544,539734871696;42,112901462242;45,9546231010929;79,6371791667403;NaN;NaN;170,089227289233;638,377022489093;172,256175865668;0;1;0;0;28;28;441000;0,959984580644282;550,874033488176;172,849379242299;96,2686567164179
6;NaN;17,022264999659;18,0038460420967;NaN;3,41843033285812;639,599314979136;611,197851316506;606,17781689775;41,8275242415257;47,0767627626013;76,3216833657536;NaN;NaN;174,620641189856;560,925089398246;167,78281249572;0;2;0;0;25;25;393750;4,29054532215213;526,18647818075;192,556760278619;95,8677685950413
7;NaN;16,8994884725532;17,8984630431103;NaN;3,42479692512913;679,647892661276;595,846237367336;618,916760195653;40,2056590210775;42,1316141831792;71,9674289736309;NaN;NaN;192,829848175359;769,236069856747;159,838214720181;0;1;0;0;31;31;488250;3,61481401142608;602,092879892996;188,172902700666;97,9591836734694
8;NaN;16,9696730300388;18,0103623673684;NaN;3,78339054159421;603,558753082681;647,251686127455;639,897954858497;37,8168263938278;45,0565964891575;77,0858848199714;NaN;NaN;164,692854479846;NaN;175,039719073175;0;2;0;0;28;28;441000;1,35899028135716;531,547277692182;170,708836406823;94,8529411764706
9;NaN;16,9265916562033;17,9594206502011;NaN;3,48335242706041;625,839598196277;587,731190250173;751,262398720369;39,2519603678957;45,9185848234651;75,6435864205317;NaN;NaN;140,627027945069;709,059707107775;182,133593342804;0;0;0;0;27;27;425250;3,90101991131;567,5635869225;189,05544885426;93,8461538461538
10;NaN;16,9112819134302;18,1281400393445;NaN;3,49708081284538;635,411122692051;650,027608411269;608,226547410109;38,5730781714464;43,2992356746561;77,4663031116749;NaN;NaN;197,23359362612;NaN;160,593923191409;0;4;0;0;25;25;393750;0,227774566011174;596,018996273778;166,609371553493;99,1666666666667
11;NaN;16,9799640074758;17,9472799467082;NaN;3,3199197889166;627,378147338381;622,696755745492;643,433427305405;38,275888816871;43,9558027037937;74,5993163365577;NaN;NaN;158,284023036089;668,620492727105;180,697115152166;0;1;0;0;25;25;393750;1,8591714661101;588,244661292456;179,311942064336;94,1176470588235
