Scenario;Response;Mean;Median;Minimum;Maximum;HalfWidth;Mean Confidence Interval Start;Mean Confidence Interval End;Upper Percentile;Upper Percentile Confidence Interval Start;Upper Percentile Confidence Interval End;Lower Percentile;Lower Percentile Confidence Interval Start;Lower Percentile Confidence Interval End
S1 Low;AveregeQuantityInStock;394,103457794728;482,269942459872;70,9246006394337;586,635902675575;33,2291963824113;360,874261412317;427,33265417714;526,124454463225;513,256996920985;535,84650415571;249,881399198732;153,747260979563;341,027273068694
S1 Low;AverageLeadTime;168,482417004631;168,631866713916;157,738125489032;181,116739155594;0,950806442590601;167,53161056204;169,433223447222;171,544873682026;170,238350538785;172,825740914487;165,465997568726;163,748269405239;166,904988379055
S1 Low;Response2;460400;460000;380000;560000;7916,83233255689;452483,167667443;468316,832332557;480000;480000;500000;440000;420000;440000
S1 Low;OrderFillRate;69,2183775095619;89,6296296296296;11,2781954887218;98,2142857142857;6,01538994159672;63,2029875679652;75,2337674511586;92,9203539823009;92,3664122137405;94,2622950819672;42,3312883435583;28,5714285714286;62,0967741935484
S1;AveregeQuantityInStock;456,666287028366;554,888555582657;100,951164847223;616,854828853161;32,4644321273776;424,201854900988;489,130719155743;577,835025720288;570,885044756892;585,468420213496;302,015426246149;241,184900091454;430,179383000806
S1;AverageLeadTime;167,976676686466;168,458879272439;157,157888139334;178,163637467849;0,981074470422537;166,995602216044;168,957751156889;171,517227546219;170,387506635383;172,186633896089;164,109817355211;162,455084615621;165,501475452656
S1;Response2;467775;472500;367500;542500;7413,09695243063;460361,903047569;475188,096952431;490000;490000;507500;455000;437500;455000
S1;OrderFillRate;78,0729528174282;95,8677685950413;16,4285714285714;100;5,40774401963848;72,6652087977897;83,4806968370667;98,3050847457627;97,6190476190476;98,4496124031008;57,5539568345324;42,2222222222222;74,6153846153846
S1 High;AveregeQuantityInStock;532,766527837977;607,743411079738;154,519398558773;668,186595096599;29,2879484071115;503,478579430866;562,054476245089;627,473882383594;620,309091865906;636,947563385734;482,897408260748;326,706761230219;582,569831349989
S1 High;AverageLeadTime;168,025565343196;168,310678772817;156,136380160947;178,161034502639;0,895882114177988;167,129683229018;168,921447457374;170,777116820984;169,286325382918;172,123083448836;165,258028619357;164,344157841963;166,178021326728
S1 High;Response2;471300;465000;390000;585000;9302,03867684146;461997,961323159;480602,038676841;510000;495000;525000;435000;420000;450000
S1 High;OrderFillRate;87,7921388950172;98,5815602836879;37,007874015748;100;3,65613135739875;84,1360075376185;91,448270252416;99,2481203007519;99,1666666666667;100;74,6153846153846;63,265306122449;97,4789915966387
S2 Low;AveregeQuantityInStock;495,996723857393;518,377300059263;97,1120415322599;587,885848833614;17,5986858545492;478,398038002844;513,595409711942;535,344901822588;528,614836628934;543,085481332013;502,897877364828;480,176655478883;506,298616793845
S2 Low;AverageLeadTime;168,972405575348;168,145177328342;155,173147719919;181,420781533596;1,07385919024406;167,898546385104;170,046264765593;172,662957623958;170,820159144878;175,374878574767;165,290173217567;163,919084090567;166,433161392886
S2 Low;Response2;382560;384000;304000;464000;6417,28377090834;376142,716229092;388977,283770908;400000;400000;416000;368000;352000;368000
S2 Low;OrderFillRate;88,0032653062244;92,2535211267606;19,8412698412698;98,2905982905983;3,06020197700015;84,9430633292243;91,0634672832246;94,3548387096774;93,3333333333333;95,2755905511811;89,5652173913044;88,5496183206107;91,1111111111111
S2;AveregeQuantityInStock;555,124830999486;570,427721625586;178,833878096856;623,531773268665;13,7676701827772;541,357160816709;568,892501182263;583,935282614429;580,814288948633;588,874545681705;550,989139525936;547,592924529633;556,652412284808
S2;AverageLeadTime;168,144397618082;167,599815998449;157,370500785616;180,853743782253;1,06901562109892;167,075381996983;169,213413239181;172,404422553063;170,604650986855;173,608562400981;164,33366297625;163,097263193874;165,466755336814
S2;Response2;392840;392000;280000;476000;7523,37453395628;385316,625466044;400363,374533956;420000;406000;420000;364000;364000;378000
S2;OrderFillRate;94,2156130969146;96,5811965811966;33,3333333333333;99,2957746478873;2,0390298004861;92,1765832964285;96,2546428974006;97,7443609022556;97,4358974358974;98,4962406015038;95,2380952380952;94,5945945945946;95,5414012738854
S2 High;AveregeQuantityInStock;601,244382987341;618,659671582641;135,056858076912;668,644627036478;17,6172621894131;583,627120797928;618,861645176754;633,46725118379;628,759916071547;636,87121902096;602,05829772038;598,258389555508;608,240902568993
S2 High;AverageLeadTime;168,069562002206;167,859722566866;156,308067602856;184,247567047438;1,15650625229636;166,91305574991;169,226068254503;172,402523436205;170,732232449033;174,091711192045;163,832485193469;162,016976316688;165,479765548947
S2 High;Response2;386280;384000;324000;492000;6697,81178812087;379582,188211879;392977,811788121;408000;396000;420000;360000;348000;372000
S2 High;OrderFillRate;95,7494575182098;98,4251968503937;42,7631578947368;100;2,16086913958874;93,5885883786211;97,9103266577986;99,21875;99,1150442477876;99,2647058823529;97,4137931034483;96,4788732394366;97,5806451612903
S3 Low;AveregeQuantityInStock;333,272541872621;337,376748464513;158,767011666867;399,24236449364;7,52780555708422;325,744736315536;340,800347429705;360,925005536905;353,387797686201;364,107314921628;314,57113976995;302,743510467354;318,884511114559
S3 Low;AverageLeadTime;286,721829294185;287,756533877349;264,423901640303;303,610524662159;1,86738736146791;284,854441932717;288,589216655653;293,64284988496;291,038717416587;295,992639091357;280,836957605511;276,372669652575;282,924494266286
S3 Low;Response2;285840;288000;216000;348000;5248,49731013987;280591,50268986;291088,49731014;300000;288000;312000;264000;264000;276000
S3 Low;OrderFillRate;67,0608212387242;67,96875;23,4939759036145;83,3333333333333;1,60212040755188;65,4587008311723;68,6629416462761;71,4285714285714;69,8412698412698;73,7588652482269;63,8655462184874;62,3376623376623;65,0684931506849
S3 ;AveregeQuantityInStock;365,898494183429;366,64195744447;229,561847178199;454,493973474764;6,5362012311352;359,362292952294;372,434695414565;385,943654429141;378,893785722244;393,913016315776;347,773026241191;336,777966734794;354,345341444263
S3 ;AverageLeadTime;297,360111415724;299,517718068524;278,20956519251;316,632592943568;1,62246473807881;295,737646677645;298,982576153803;303,275414832533;301,827539017413;304,421320186172;291,704636494152;288,990673094514;293,289686808215
S3 ;Response2;284025;283500;220500;346500;5250,60586276825;278774,394137232;289275,605862768;304500;294000;315000;273000;262500;273000
S3 ;OrderFillRate;73,867526422036;74,6376811594203;39,6825396825397;87,2881355932203;1,3092502729021;72,5582761491339;75,1767766949381;77,8571428571429;76,6666666666667;79,3650793650794;70,8661417322835;68,7074829931973;72,1311475409836
S3 High;AveregeQuantityInStock;402,438773182858;399,723842616379;238,535185389172;486,136304179317;6,74197192195641;395,696801260902;409,180745104815;424,053999004029;419,906095085214;431,461003629809;385,350286011341;375,902996252903;389,152631166819
S3 High;AverageLeadTime;313,36847101713;314,175729115871;286,144462705994;341,74938067624;1,71622467999398;311,652246337136;315,084695697124;317,608689770465;317,065549326017;319,772447099012;308,545430681234;305,64415178951;310,805001996725
S3 High;Response2;286470;288000;216000;351000;4979,47374902938;281490,526250971;291449,473749029;297000;297000;306000;270000;261000;279000
S3 High;OrderFillRate;80,7405404464526;80,8823529411765;54,4776119402985;94,059405940594;1,09635325580352;79,6441871906491;81,8368937022561;84,4961240310078;83,59375;85,8407079646018;77,5;76,1194029850746;78,4172661870504
