Scenario;Replication;OrderFillRate;OrdersS1;OrdersS2;OrdersS3;AvarageLeadTime;AvarageQInStock;Costs;NumberBackordered
Scenario1;1;92,1875;22;2;0;167,966684411397;495,764140279005;488000;3,79576818671098
Scenario1;2;91,304347826087;20;5;0;171,345048242488;514,152699876346;520000;5,20235564107733
Scenario1;3;93,6;20;3;0;183,914647168841;513,222408549217;472000;5,66095949191834
Scenario1;4;96,8992248062015;21;3;0;166,513281645405;544,232153404227;492000;0,885286837333797
Scenario1;5;86,1538461538462;17;7;0;167,415693333346;539,031617207968;508000;5,78138288472735
Scenario1;6;95,1388888888889;23;3;0;172,379361091756;542,777561900628;532000;2,710971428832
Scenario1;7;86,8217054263566;21;2;0;185,308908342717;505,536163380719;468000;20,7065577015282
Scenario1;8;94,7761194029851;22;3;0;166,980987651544;522,355612857981;512000;2,10315446744912
Scenario1;9;97,4137931034483;19;2;0;178,393832764453;540,166700399994;428000;1,1519225257301
Scenario1;10;94;24;4;0;180,753916588474;522,818673437693;556000;6,65580600858768
Scenario1;11;24,6031746031746;18;5;0;174,061309789242;183,647539739401;456000;271,746688019937
Scenario1;12;85,4014598540146;20;5;0;175,683758796122;482,638914651357;520000;16,5217096185571
Scenario1;13;92,7272727272727;19;1;0;196,117013865368;524,968820273317;404000;4,48461098229717
Scenario1;14;92,9133858267717;21;2;0;178,73122378111;502,660054049073;468000;8,19351432650656
Scenario1;15;93,5483870967742;22;1;0;181,427033140514;500,767603485488;464000;4,62053477663677
Scenario1;16;93,1297709923664;23;1;0;165,945530761044;502,259348769695;484000;2,88448573681051
Scenario1;17;85,1851851851852;20;4;0;172,413144873952;500,429393809461;496000;6,6416124617089
Scenario1;18;83,6206896551724;18;3;0;202,552741931336;517,482794870953;408000;22,7096291730232
Scenario1;19;95,1219512195122;21;2;0;174,606153496583;513,515971015766;468000;2,64566013630045
Scenario1;20;85,7142857142857;20;3;0;179,402496225014;505,556931760344;472000;16,9521238653265
Scenario1;21;91,1764705882353;22;3;0;165,846524336183;520,175793127623;512000;3,77113225063909
Scenario1;22;90,3703703703704;22;2;0;186,831793792849;495,855163517746;488000;18,5692440686115
Scenario1;23;88,7218045112782;21;4;0;184,087666285214;471,293298120837;516000;6,52458006466659
Scenario1;24;91,4893617021277;21;5;0;163,336676932634;493,188551239306;540000;4,54178171756017
Scenario1;25;94,0740740740741;24;1;0;176,494715442615;514,547306184243;504000;1,79261038226425
Scenario1;26;85,6115107913669;21;4;0;189,124110431005;524,688537123102;516000;15,3073811715387
Scenario1;27;87,3239436619718;24;2;0;163,686551199038;499,261466529923;528000;5,68315179689547
Scenario1;28;94,1666666666667;18;4;0;175,048250751412;480,809118837055;456000;1,55215451130146
Scenario1;29;89,922480620155;20;4;0;173,724350216312;535,596012726673;496000;2,54696914559926
Scenario1;30;91,743119266055;19;1;0;167,62100687372;553,278510118592;404000;1,80936097908625
Scenario1;31;92,9824561403509;19;2;0;179,768273276925;500,223794066371;428000;3,9790239392539
Scenario1;32;93,5714285714286;21;5;0;166,773249412898;523,766663869018;540000;2,78401860826492
Scenario1;33;93,8461538461538;21;3;0;161,681807831237;537,809497227482;492000;2,73804135064144
Scenario1;34;90,2255639097744;23;2;0;176,265998687502;499,575052309403;508000;6,3788070764082
Scenario1;35;90,3225806451613;19;4;0;170,789154493404;516,693302768773;476000;5,29138392581878
Scenario1;36;88,8888888888889;21;2;0;186,385408251306;528,869131621491;468000;6,43646670254405
Scenario1;37;95,2380952380952;21;2;0;162,473205634429;534,696743732197;468000;1,55495537053222
Scenario1;38;91,6666666666667;22;2;0;171,998639371461;524,525816827659;488000;4,1266261033667
Scenario1;39;89,051094890511;23;2;0;188,303163592052;501,223721031326;508000;8,51873200898911
